HVH_107_07_000001_000001	皇越律创卷七目録
HVH_107_07_000019_000020	各放一百
HVH_107_07_000019_000021	口徒
HVH_107_07_000019_000022	三年日好
HVH_107_07_000019_000023	本宗之盡矣上之祖枯曾阻始亦
HVH_107_07_000019_000024	也下之轻保友鲁往文也
HVH_107_07_000019_000025	重能果通承上
HVH_107_07_000019_000026	信财體供人官
HVH_107_07_000019_000027	條例
HVH_107_07_000019_000028	越律侧
HVH_107_07_000019_000029	卷
HVH_107_07_000019_000030	六
HVH_107_07_000019_000031	娶麗鸿要麦
HVH_107_07_000019_000032	一几嫁娶律罪不至死者仍依律定
HVH_107_07_000019_000033	提至兄收第妆弟罪犯應死
HVH_107_07_000019_000034	之案除男女私自能合及先有情後
HVH_107_07_000019_000035	婚配者仍源律各概教决外其由
HVH_107_07_000019_000036	母主男女咱從婚配者即将甘心咱
HVH_107_07_000019_000037	促之男女各监候秋时核其情
HVH_107_07_000019_000038	罪另行定报
HVH_107_07_000020_000001	娶部民婦女爲要妾
HVH_107_07_000020_000002	九府州縣親民官任内娶部民婦女妻
HVH_107_07_000020_000003	官娶事
HVH_107_07_000020_000004	許给共後娶者亦不给四前夫舍据宗
HVH_107_07_000020_000005	其女汉父母为親当歸宗成有夫又
HVH_107_07_000020_000006	给夫
HVH_107_07_000020_000007	二等女家不坐好
HVH_107_07_000020_000008	任内謂任也兼下監险官言部
HVH_107_07_000020_000009	皇越律例
HVH_107_07_000020_000010	民婦女者謂部民家之友婦兼麦
HVH_107_07_000020_000011	妾言乃無夫者也為事人要妄则其
HVH_107_07_000020_000012	十九
HVH_107_07_000020_000013	高要安
HVH_107_07_000020_000014	夫现在也故一日都一日要要府川
HVH_107_07_000020_000015	之人無事相涉为事人则在官
HVH_107_07_000020_000016	情吴故坐罪有入核一百之差
HVH_107_07_000020_000017	一謂妻妾之本夫女之父御爲事人
HVH_107_07_000020_000018	也业同罪者部民财师女共视民
HVH_107_07_000020_000019	亦校人十為事人以妻妄及共
HVH_107_07_000020_000020	故俱不国聚合其宗女
HVH_107_07_000020_000021	福
HVH_107_07_000020_000022	民监官待势用强而娶之者各
HVH_107_07_000020_000023	徒年牛吴给女家不坐财越不
HVH_107_07_000020_000024	受制于人非其情硬也若视民监
HVH_107_07_000020_000025	随字為子孙弟家人娶為要者
HVH_107_07_000020_000026	或和或如自娶之罪科之男女
HVH_107_07_000021_000001	不，坐男即官之子殊弟矩女即所
HVH_107_07_000021_000002	之次非主婚之男家友家也题夫
HVH_107_07_000021_000003	婦者聽不
HVH_107_07_000021_000004	顺者雕具
HVH_107_07_000021_000005	越祥侧
HVH_107_07_000021_000006	老
HVH_107_07_000021_000007	示
HVH_107_07_000021_000008	聚部民最方為要
HVH_107_07_000022_000001	娶远走女
HVH_107_07_000022_000002	凡娶犯罪
HVH_107_07_000022_000003	已在
HVH_107_07_000022_000004	逃走外
HVH_107_07_000022_000005	2
HVH_107_07_000022_000006	婦女爲妻
HVH_107_07_000022_000007	其所犯
HVH_107_07_000022_000008	之本
HVH_107_07_000022_000009	罪
HVH_107_07_000022_000010	逃罪二
HVH_107_07_000022_000011	婦
HVH_107_07_000022_000012	人加
HVH_107_07_000022_000013	不如罪
HVH_107_07_000022_000014	離仍
HVH_107_07_000022_000015	犯罪指食自身犯罪在官有
HVH_107_07_000022_000016	有人知其犯罪逐走之情丽娶為
HVH_107_07_000022_000017	等印情娶者止共本同科
HVH_107_07_000022_000018	女体祀杖一百之罪退走
HVH_107_07_000022_000019	二等则放七十徒年半知情娶者
HVH_107_07_000022_000020	一百也婦女本罪王死知情娶者
HVH_107_07_000022_000021	一等杖一百流三千里離異女则
HVH_107_07_000022_000022	皇越律剑
HVH_107_07_000022_000023	巷章
HVH_107_07_000022_000024	主
HVH_107_07_000022_000025	聚逸走女
HVH_107_07_000022_000026	前夫图聚者给前夫應共前夫
HVH_107_07_000022_000027	者宗不知情而聚者但骤果而不
HVH_107_07_000022_000028	主罪若已無前天女原未許人其
HVH_107_07_000022_000029	原记之罪灭已會教原免汉和测身
HVH_107_07_000022_000030	無所以公则法無所骤故共
HVH_107_07_000022_000031	者聚不無夫女難味
HVH_107_07_000022_000032	人解术数免及罪数面爆现有
HVH_107_07_000022_000033	前夫女已許人昔應離具故注
HVH_107_07_000022_000034	日
HVH_107_07_000022_000035	果教正者会教街典此
HVH_107_07_000022_000036	法者被乃因辉娶而越律者之通
HVH_107_07_000022_000037	所
HVH_107_07_000022_000038	即是罪合教離不論
HVH_107_07_000022_000039	者固干擦聚
HVH_107_07_000022_000040	之
HVH_107_07_000022_000041	法
HVH_107_07_000022_000042	新
HVH_107_07_000022_000043	達
HVH_107_07_000022_000044	也
HVH_107_07_000022_000045	有
HVH_107_07_000022_000046	其
HVH_107_07_000022_000047	美
HVH_107_07_000022_000048	甚
HVH_107_07_000022_000049	微夫
HVH_107_07_000022_000050	矣
HVH_107_07_000022_000051	复
HVH_107_07_000022_000052	须释
HVH_107_07_000022_000053	福
HVH_107_07_000022_000054	之
HVH_107_07_000023_000001	。
HVH_107_07_000023_000002	强占良家要女
HVH_107_07_000023_000003	儿豪力之人强良家妻女占爲
HVH_107_07_000023_000004	要妻者校
HVH_107_07_000023_000005	婦女給親
HVH_107_07_000023_000006	女婦靓
HVH_107_07_000023_000007	稀筛天
HVH_107_07_000023_000008	配共子
HVH_107_07_000023_000009	不坐
HVH_107_07_000023_000010	生
HVH_107_07_000023_000011	豪劳謂商有力者强奪二字須重
HVH_107_07_000023_000012	有豪劳之人送时横游良家女
HVH_107_07_000023_000013	不自聘娶公然用强拾华在家占
HVH_107_07_000023_000014	房已之妻妻者教婚女粉规即自
HVH_107_07_000023_000015	已姦占面观具于孫弟社家人房
HVH_107_07_000023_000016	人之具面在豪势则同行横奪之事
HVH_107_07_000023_000017	在婚女则均受占之其情
HVH_107_07_000023_000018	皇成律侧巷
HVH_107_07_000023_000019	交意相同无言罪亦如之者必本
HVH_107_07_000023_000020	主
HVH_107_07_000023_000021	占良家安文
HVH_107_07_000023_000022	法也日良家发女者所以下家
HVH_107_07_000023_000023	共费之家耳非照有分粥之
HVH_107_07_000023_000024	也要女婚女在再故下即日
HVH_107_07_000023_000025	女部民女日
HVH_107_07_000023_000026	占女前互言文其可
HVH_107_07_000023_000027	都解拳占之共强
HVH_107_07_000023_000028	相等被其罪亦同未用弦人
HVH_107_07_000023_000029	乙妻样典奴之要者不坐
HVH_107_07_000023_000030	條例
HVH_107_07_000023_000031	一强奪良人委女賣共他人為妻妾及报
HVH_107_07_000023_000032	默王府并勲戚勢豪之家者俱提监
HVH_107_07_000023_000033	候
HVH_107_07_000024_000001	一强奪良家妻女中途奪回及尚未污
HVH_107_07_000024_000002	者照已被姦占律减一等定提者已被
HVH_107_07_000024_000003	轰污而婦女自盡者照強姦已成本
HVH_107_07_000024_000004	差念自盡例擬断监候未被表污而自
HVH_107_07_000024_000005	盡者照强未成本差念自例
HVH_107_07_000024_000006	校监侯
HVH_107_07_000024_000007	一强奪良家要女姦占為從之犯應照為
HVH_107_07_000024_000008	首段减一等杖一百流三千里如被
HVH_107_07_000024_000009	逼誘随行止於帮同扛座照未成藏
HVH_107_07_000024_000010	校界五等杖九十徒一年牛共中途奪
HVH_107_07_000024_000011	回及尚未轰污從者保助劳濟恶
HVH_107_07_000024_000012	皇越律侧
HVH_107_07_000024_000013	巷七
HVH_107_07_000024_000014	律
HVH_107_07_000024_000015	重
HVH_107_07_000024_000016	占良家文
HVH_107_07_000024_000017	减爲首流罪一等杖一百徒三年加被
HVH_107_07_000024_000018	逼誘随行止於帮同扛撞各照不應重
HVH_107_07_000024_000019	罪律杖八十
HVH_107_07_000024_000020	一儿占资财贪聘禮期功早勿用强
HVH_107_07_000024_000021	賣伯权伊姑等尊属者提断監候期
HVH_107_07_000024_000022	功早奶拾賣兄妻胞娣及總麻早幼槍
HVH_107_07_000024_000023	賣尊属尊長球無服親族搶賣
HVH_107_07_000024_000024	長早初者均提監候如尊属尊長圖
HVH_107_07_000024_000025	财强賣平勿係期功杖一百流三千里
HVH_107_07_000024_000026	係總麻附近克軍未成婚者各减
HVH_107_07_000024_000027	成婿一等若中途奪回及娶主自行送
HVH_107_07_000025_000001	耳未被姦污者均以未成婚論如婦女
HVH_107_07_000025_000002	不甘失節因而自盡者期功以下平切
HVH_107_07_000025_000003	及遣親族仍照本例分别校监候
HVH_107_07_000025_000004	麻尊属尊長亦提校監候期功尊属
HVH_107_07_000025_000005	尊長發近克軍
HVH_107_07_000025_000006	他故自者仍依
HVH_107_07_000025_000007	若巴成婚面婦友酉
HVH_107_07_000025_000008	不在此例
HVH_107_07_000025_000009	家贪不能禁或感不能终守动命
HVH_107_07_000025_000010	稼重非为圖财留座起见均仍题嫁
HVH_107_07_000025_000011	例定疑不得
HVH_107_07_000025_000012	引此例
HVH_107_07_000025_000013	一除用强求娶及並未移聚但强賣兴人
HVH_107_07_000025_000014	爲要妾者仍各照本倒辨理外其有聚
HVH_107_07_000025_000015	皇藏律创
HVH_107_07_000025_000016	卷七海
HVH_107_07_000025_000017	随占良家要女
HVH_107_07_000025_000018	眾移謀入人家丙搶奪婦女一經搶
HVH_107_07_000025_000019	出門即属已成應典搶奪婦女轉賣或
HVH_107_07_000025_000020	自爲要妾及被姦污者均共光棍無異
HVH_107_07_000025_000021	爲首擬立决爲從帮拾者提監候
HVH_107_07_000025_000022	如圖搶入室未將婦女搶獲者育犯照
HVH_107_07_000025_000023	已成從犯之倒擬校監候爲從實
HVH_107_07_000025_000024	遠地方克軍至因搶奪婦女拒捕殺人
HVH_107_07_000025_000025	者無論已成未成將下手殺人之犯
HVH_107_07_000025_000026	决泉示帮敲成傷從犯不論手足他物
HVH_107_07_000025_000027	金开提校监候其业未帮首從各犯
HVH_107_07_000025_000028	仍分别已未搶獲届女本倒问提
HVH_107_07_000026_000001	僧道娶妻
HVH_107_07_000026_000002	人
HVH_107_07_000026_000003	财障
HVH_107_07_000026_000004	寺觀住持知情典同罪
HVH_107_07_000026_000005	以图人连累不
HVH_107_07_000026_000006	在俗之限
HVH_107_07_000026_000007	不知者不坐若僧道
HVH_107_07_000026_000008	假託親属或僮僕爲名求娶而僧道自
HVH_107_07_000026_000009	占者以姦論
HVH_107_07_000026_000010	罪二等諭婦女回税财
HVH_107_07_000026_000011	以增道犯姦加几人和姦
HVH_107_07_000026_000012	入官僚强者
HVH_107_07_000026_000013	以张豪篇
HVH_107_07_000026_000014	僧道不應娶要妾女家不應像共
HVH_107_07_000026_000015	道自占要妻者以僧道犯姦論和
HVH_107_07_000026_000016	皇越律侧卷七
HVH_107_07_000026_000017	数加几人和轰罪二等强者以
HVH_107_07_000026_000018	十五
HVH_107_07_000026_000019	僧通务麦
HVH_107_07_000026_000020	除儿以姦論者其娶属修之
HVH_107_07_000026_000021	喻者不同僧道假托女家被本
HVH_107_07_000026_000022	不知情非前節明娶之此面依班之
HVH_107_07_000026_000023	前道俗其離異持知者
HVH_107_07_000026_000024	同罪或謂微托者各以观何
HVH_107_07_000026_000025	而所娶者亦非其要接安得以
HVH_107_07_000026_000026	具而全罪哉若娶典属便美成婚
HVH_107_07_000026_000027	彼而僧道又自轰宿则自有和
HVH_107_07_000026_000028	强
HVH_107_07_000026_000029	本
HVH_107_07_000026_000030	律
HVH_107_07_000026_000031	也
HVH_107_07_000027_000001	良贱爲婚烟
HVH_107_07_000027_000002	儿家長典奴娶良人女爲妻者杖八十女
HVH_107_07_000027_000003	家生销
HVH_107_07_000027_000004	八
HVH_107_07_000027_000005	藏一等不知者不坐其奴自娶
HVH_107_07_000027_000006	者罪亦如之家長情者二等因而
HVH_107_07_000027_000007	人籍
HVH_107_07_000027_000008	指家
HVH_107_07_000027_000009	爲者杖一百若姜以奴婢
HVH_107_07_000027_000010	由家長坐家長
HVH_107_07_000027_000011	謂入籍
HVH_107_07_000027_000012	舞之女
HVH_107_07_000027_000013	正後
HVH_107_07_000027_000014	良
HVH_107_07_000027_000015	婚相配偶義取献体以賤聚良则良
HVH_107_07_000027_000016	自娶良人女為要者亦諭如家長篇
HVH_107_07_000027_000017	皇越侧凳
HVH_107_07_000027_000018	娶之弄女家亦藏一等家長知情藏
HVH_107_07_000027_000019	云六
HVH_107_07_000027_000020	艾为婚
HVH_107_07_000027_000021	二等杖大十事由知面不禁不
HVH_107_07_000027_000022	女配取之辉人於籍者壓良
HVH_107_07_000027_000023	贱其情更重效放一百以上皆明知
HVH_107_07_000027_000024	和之甚于明娶者矣谷
HVH_107_07_000027_000025	異败正通承上言既日離異则良
HVH_107_07_000027_000026	良自又云正者指
HVH_107_07_000027_000027	因而入籍者言謂正其籍也
HVH_107_07_000028_000001	出要
HVH_107_07_000028_000002	於
HVH_107_07_000028_000003	無應出之條及
HVH_107_07_000028_000004	龄義絶之状
HVH_107_07_000028_000005	無
HVH_107_07_000028_000006	而擅出之者杖八十犯七出
HVH_107_07_000028_000007	子
HVH_107_07_000028_000008	铁不楼
HVH_107_07_000028_000009	窃总思疾
HVH_107_07_000028_000010	男姑多言盗
HVH_107_07_000028_000011	有三不去
HVH_107_07_000028_000012	贪賤富贵有
HVH_107_07_000028_000013	共更三年前
HVH_107_07_000028_000014	所歸
HVH_107_07_000028_000015	所娶無
HVH_107_07_000028_000016	而出之者藏二等追回围聚
HVH_107_07_000028_000017	若犯羲絶應離而不離者亦杖八十若
HVH_107_07_000028_000018	夫妻不相和諧而两願離者不坐
HVH_107_07_000028_000019	的
HVH_107_07_000028_000020	1
HVH_107_07_000028_000021	難强
HVH_107_07_000028_000022	其合
HVH_107_07_000028_000023	若之
HVH_107_07_000028_000024	夫無膜
HVH_107_07_000028_000025	因逃而改嫁者校
HVH_107_07_000028_000026	要背夫在杖一
HVH_107_07_000028_000027	监
HVH_107_07_000028_000028	候
HVH_107_07_000028_000029	其因夫三年之内不告官司而
HVH_107_07_000028_000030	逃去者杖八十擅自收嫁首杖一百麦
HVH_107_07_000028_000031	学越律侧
HVH_107_07_000028_000032	卷七
HVH_107_07_000028_000033	早七
HVH_107_07_000028_000034	出要
HVH_107_07_000028_000035	各藏二等
HVH_107_07_000028_000036	有主婚媒人及财體乃坐無
HVH_107_07_000028_000037	注婚人不成智醒者即以
HVH_107_07_000028_000038	爱仍從夫家宾
HVH_107_07_000028_000039	者杖八十因面改嫁者杖一百給回家
HVH_107_07_000028_000040	長高主及知情娶者各典
HVH_107_07_000028_000041	要接
HVH_107_07_000028_000042	奴牌
HVH_107_07_000028_000043	同罪
HVH_107_07_000028_000044	至死者减一等
HVH_107_07_000028_000045	财险
HVH_107_07_000028_000046	人官
HVH_107_07_000028_000047	不知者
HVH_107_07_000028_000048	主娶
HVH_107_07_000028_000049	坐
HVH_107_07_000028_000050	若由
HVH_107_07_000028_000051	婚发嫁者罪坐主婚委妾止得在逃之
HVH_107_07_000028_000052	罪徐親主婚者
HVH_107_07_000028_000053	親胡期親早初及大
HVH_107_07_000028_000054	列以丁尊長早勿主婚
HVH_107_07_000028_000055	教事由主婚主婚爲首男女爲從事
HVH_107_07_000028_000056	者
HVH_107_07_000028_000057	由男女男女爲首主婚爲從至死者主
HVH_107_07_000028_000058	婚人鱼减一等
HVH_107_07_000028_000059	不論期親以上及
HVH_107_07_000028_000060	你主措人晋杖一百
HVH_107_07_000029_000001	三千
HVH_107_07_000029_000002	里
HVH_107_07_000029_000003	七州三不法者宋禮所载也干七
HVH_107_07_000029_000004	出
HVH_107_07_000029_000005	之中仅有三不去之義乃所以存
HVH_107_07_000029_000006	厚
HVH_107_07_000029_000007	世義绝者干大婦之恩情禮意
HVH_107_07_000029_000008	共
HVH_107_07_000029_000009	可
HVH_107_07_000029_000010	若於七出無犯無出之無
HVH_107_07_000029_000011	地之状则無之罪而之
HVH_107_07_000029_000012	角以出之者成二六十追
HVH_107_07_000029_000013	不能吴者市社
HVH_107_07_000029_000014	情不梦其恩已離不可很合失雖無
HVH_107_07_000029_000015	皇越律创
HVH_107_07_000029_000016	卷七单
HVH_107_07_000029_000017	天
HVH_107_07_000029_000018	月寅
HVH_107_07_000029_000019	更不得自夫若柔其大而道
HVH_107_07_000029_000020	走出者一百從夫嫁曹因在
HVH_107_07_000029_000021	而教自败者被夫妻谓亲夫
HVH_107_07_000029_000022	不
HVH_107_07_000029_000023	百此内夫巡不歸则共背夫
HVH_107_07_000029_000024	者不同然在逃或可成则
HVH_107_07_000029_000025	亦扶因夫悉而去者
HVH_107_07_000029_000026	六十自歲嫁者杖入十若碑背
HVH_107_07_000029_000027	八十因而败家则杖一百三年
HVH_107_07_000029_000028	家之罪接同放入十面
HVH_107_07_000029_000029	东然则止杖一百藏妾五等麦辉共
HVH_107_07_000029_000030	最之各分相同思義則異故逃罪
HVH_107_07_000029_000031	-
HVH_107_07_000029_000032	同料而輕於发嫁也以上要
HVH_107_07_000030_000001	及明知在逃之情面娶之者各共在
HVH_107_07_000030_000002	越之委奏辉何死者惟妻背逃
HVH_107_07_000030_000003	主共娶者言然前日富主及知情娶
HVH_107_07_000030_000004	委变非未书而来耶记要
HVH_107_07_000030_000005	麦非洲中其本罪
HVH_107_07_000030_000006	人罪一等不知者不坐此惧字或
HVH_107_07_000030_000007	要妾止得前项在之罪不坐
HVH_107_07_000030_000008	者有如事出主婚则以首
HVH_107_07_000030_000009	泉越律例
HVH_107_07_000030_000010	卷
HVH_107_07_000030_000011	宿三九
HVH_107_07_000030_000012	出
HVH_107_07_000030_000013	男女病從事由男女则以男女為首
HVH_107_07_000030_000014	土從几朋就以上主婚人及餘
HVH_107_07_000030_000015	親主婚爲百者罪應至死
HVH_107_07_000030_000016	裁一等秋一百三千里
HVH_107_07_000030_000017	條侧
HVH_107_07_000030_000018	一要犯七之状有三不去之理不得
HVH_107_07_000030_000019	犯者不在此限
HVH_107_07_000030_000020	一期約已至五年無過不娶及夫逃三
HVH_107_07_000030_000021	年不同者聽經官告給轨照别行政
HVH_107_07_000030_000022	嫁亦不追财禮
HVH_107_07_000031_000001	嫁影建律主婚媒人罪
HVH_107_07_000031_000002	徐親主婚者
HVH_107_07_000031_000003	徐親期
HVH_107_07_000031_000004	抚军切及
HVH_107_07_000031_000005	者由主婚主婚爲首男
HVH_107_07_000031_000006	早动主赠者
HVH_107_07_000031_000007	依律論死其由
HVH_107_07_000031_000008	入於死故童藏一等男
HVH_107_07_000031_000009	被主婚八威逼事不由已若男年二十
HVH_107_07_000031_000010	歲以下及在室之女
HVH_107_07_000031_000011	皇越律饨
HVH_107_07_000031_000012	羊
HVH_107_07_000031_000013	综爱律主人
HVH_107_07_000031_000014	男女俱不坐
HVH_107_07_000031_000015	得以首未成婚者各
HVH_107_07_000031_000016	科之
HVH_107_07_000031_000017	减已成增罪五等如较罪减五七
HVH_107_07_000031_000018	十徒一年牛徐频准
HVH_107_07_000031_000019	减若媒人知情者各痰
HVH_107_07_000031_000020	主婚
HVH_107_07_000031_000021	男女
HVH_107_07_000031_000022	犯人罪
HVH_107_07_000031_000023	一等不知者不坐其遠律爲婚各條
HVH_107_07_000031_000024	離異改正者難會款
HVH_107_07_000031_000025	離異玖
HVH_107_07_000031_000026	养
HVH_107_07_000031_000027	正離異者婦女並歸宗財禮若娶者
HVH_107_07_000031_000028	始主
HVH_107_07_000031_000029	批條乃婚相事情之无例目男
HVH_107_07_000031_000030	-
HVH_107_07_000031_000031	婚姻以下諸條有之罪者为
HVH_107_07_000031_000032	謂之嫁娶游律引諸你皆當
HVH_107_07_000031_000033	娶必有生其事者都之主人
HVH_107_07_000031_000034	祖父毋孫父母爲子伯叔姑经
HVH_107_07_000032_000001	兄
HVH_107_07_000032_000002	婦第妹外祖父母房外
HVH_107_07_000032_000003	坐主婚之人男女不坐餘親
HVH_107_07_000032_000004	北
HVH_107_07_000032_000005	者期得皆
HVH_107_07_000032_000006	则
HVH_107_07_000032_000007	以
HVH_107_07_000032_000008	主事親
HVH_107_07_000032_000009	事
HVH_107_07_000032_000010	由
HVH_107_07_000032_000011	男女起者别以男道主
HVH_107_07_000032_000012	婚
HVH_107_07_000032_000013	母
HVH_107_07_000032_000014	人
HVH_107_07_000032_000015	等务
HVH_107_07_000032_000016	主或主首
HVH_107_07_000032_000017	线
HVH_107_07_000032_000018	-
HVH_107_07_000032_000019	等
HVH_107_07_000032_000020	旅
HVH_107_07_000032_000021	别
HVH_107_07_000032_000022	及至
HVH_107_07_000032_000023	简及
HVH_107_07_000032_000024	婚在不住
HVH_107_07_000032_000025	项之罪橱坐
HVH_107_07_000032_000026	主自
HVH_107_07_000032_000027	成
HVH_107_07_000032_000028	越律剑卷
HVH_107_07_000032_000029	男女俱各已成婚罪五等
HVH_107_07_000032_000030	早
HVH_107_07_000032_000031	娶律主茶人
HVH_107_07_000032_000032	如
HVH_107_07_000032_000033	房
HVH_107_07_000032_000034	促
HVH_107_07_000032_000035	者磨减一等则通减六等疾
HVH_107_07_000032_000036	謂犯稼娶違律之弄人或
HVH_107_07_000032_000037	坐
HVH_107_07_000032_000038	犯
HVH_107_07_000032_000039	之人
HVH_107_07_000032_000040	着
HVH_107_07_000032_000041	不前已未成婚皆同
HVH_107_07_000032_000042	條创
HVH_107_07_000032_000043	一儿民之家如有将押女不行
HVH_107_07_000032_000044	配致令孤寡者照不應重律杖八十
HVH_107_07_000033_000001	民的央神依律贖令其挥配
HVH_107_07_000033_000002	一各地方民人不得共番人
HVH_107_07_000033_000003	浦之高端
HVH_107_07_000033_000004	城北之
HVH_107_07_000033_000005	者結親建者难異民人照道
HVH_107_07_000033_000006	佳
HVH_107_07_000033_000007	制律杖一百土官通事减一等各杖九十該地
HVH_107_07_000033_000008	方官如有知情故縱题参交部議處其
HVH_107_07_000033_000009	從前巳娶生有子嗣者即安置本地爲
HVH_107_07_000033_000010	民不許往來番遵者照不應重律杖
HVH_107_07_000033_000011	八十
HVH_107_07_000033_000012	皇越律例一卷七
HVH_107_07_000033_000013	呈
HVH_107_07_000033_000014	嫁建律主媒人
