HVH_107_08_000001_000001	皇越律例卷八目録
HVH_107_08_000003_000013	卷八章
HVH_107_08_000003_000014	报
HVH_107_08_000003_000015	以其家産抵償如仍不是令原食衙門
HVH_107_08_000003_000016	各官代赔分坐员單以一船程米計算
HVH_107_08_000003_000017	但有掛久照例交運官回追是不
HVH_107_08_000003_000018	足治罪其按照分数定罪之處並典運
HVH_107_08_000003_000019	弁同承追官加處如家抵償不
HVH_107_08_000003_000020	足令所差分管各官代赔至量船起交
HVH_107_08_000003_000021	足额外原有餘米聽回空時沿途羅赏
HVH_107_08_000003_000022	一平以内管镇微粮並以五六七等月
HVH_107_08_000003_000023	青是嘉定各微粮並以二三四等月
HVH_107_08_000003_000024	齊是逾年只有一期過此並以建限律
HVH_107_08_000003_000025	論
HVH_107_08_000004_000001	多收税糧解面
HVH_107_08_000004_000002	九各食
HVH_107_08_000004_000003	主守
HVH_107_08_000004_000004	官校
HVH_107_08_000004_000005	收受税提聽合親自行
HVH_107_08_000004_000006	概平解交收作正数
HVH_107_08_000004_000007	作正
HVH_107_08_000004_000008	即政平收
HVH_107_08_000004_000009	支销依
HVH_107_08_000004_000010	倒准除折耗若倉官斗级不合纳行
HVH_107_08_000004_000011	者杖六十若
HVH_107_08_000004_000012	六
HVH_107_08_000004_000013	贼論罪止杖一百
HVH_107_08_000004_000014	此皆统在倉者言
HVH_107_08_000004_000015	入已以监守自盗
HVH_107_08_000004_000016	者不坐
HVH_107_08_000004_000017	桑者平解之其格所也貌有
HVH_107_08_000004_000018	正额收斜有定制收受者糊力机
HVH_107_08_000004_000019	望越律制卷八户维
HVH_107_08_000004_000020	三
HVH_107_08_000004_000021	多妆机斜面
HVH_107_08_000004_000022	激支放開销依倒准圆折耗者序後
HVH_107_08_000004_000023	條例妆耗開耗之法所積多爲日
HVH_107_08_000004_000024	史自维免于拆耗故依例准開所
HVH_107_08_000004_000025	以不累主守也若經妆之会官干级
HVH_107_08_000004_000026	不冷纳户行或斜使其贯或
HVH_107_08_000004_000027	失使其满以多救都面者六十
HVH_107_08_000004_000028	計所多收解面横附除之数以坐
HVH_107_08_000004_000029	赋律科之罪重干放六十则性
HVH_107_08_000004_000030	眼输罪止杖一百维多枚干民销在
HVH_107_08_000004_000031	於未曾入也提調官使職料
HVH_107_08_000004_000032	察主守者知其多收面不
HVH_107_08_000004_000033	與会官斗被同系不知者不坐
HVH_107_08_000004_000034	数请律制有科面耗米之
HVH_107_08_000004_000035	综
HVH_107_08_000005_000001	隐匿费用税量課物
HVH_107_08_000005_000002	儿
HVH_107_08_000005_000003	不
HVH_107_08_000005_000004	自通
HVH_107_08_000005_000005	送本户應纳税量課物
HVH_107_08_000005_000006	如登标
HVH_107_08_000005_000007	之
HVH_107_08_000005_000008	及應追八官之物
HVH_107_08_000005_000009	已拾交
HVH_107_08_000005_000010	起運
HVH_107_08_000005_000011	貴用不納或詐作
HVH_107_08_000005_000012	隐匿
HVH_107_08_000005_000013	三千里
HVH_107_08_000005_000014	情典同罪不知者不坐
HVH_107_08_000005_000015	联後若受世做
HVH_107_08_000005_000016	此像公罪各留
HVH_107_08_000005_000017	侵者准
HVH_107_08_000005_000018	德的根官置课物及
HVH_107_08_000005_000019	司哈用令其自運赴含赴庫之時而
HVH_107_08_000005_000020	皇慧律侧
HVH_107_08_000005_000021	卷八九带
HVH_107_08_000005_000022	四
HVH_107_08_000005_000023	隐同费月税程品物
HVH_107_08_000005_000024	水头益有損失以馆同者
HVH_107_08_000005_000025	並其所游欠之数為贼准窃前
HVH_107_08_000005_000026	一两以下放六十至一百二十两以
HVH_107_08_000005_000027	上罪止一百流三千里晚喇其
HVH_107_08_000005_000028	官使明知本有隱匿费用
HVH_107_08_000005_000029	之情而狗疑不察者與犯人同罪不
HVH_107_08_000005_000030	知者
HVH_107_08_000005_000031	不坐
HVH_107_08_000006_000001	的税量
HVH_107_08_000006_000002	税者杖六十著落
HVH_107_08_000006_000003	把本
HVH_107_08_000006_000004	数
HVH_107_08_000006_000005	福
HVH_107_08_000006_000006	纳足再於犯人名下
HVH_107_08_000006_000007	照所
HVH_107_08_000006_000008	纳数
HVH_107_08_000006_000009	追罰一半
HVH_107_08_000006_000010	入官。若監主守
HVH_107_08_000006_000011	二等
HVH_107_08_000006_000012	牛八官
HVH_107_08_000006_000013	仍追影
HVH_107_08_000006_000014	0其小户畸
HVH_107_08_000006_000015	田
HVH_107_08_000006_000016	以成
HVH_107_08_000006_000017	1R
HVH_107_08_000006_000018	米麥因便奏数
HVH_107_08_000006_000019	纳人卢處
HVH_107_08_000006_000020	里
HVH_107_08_000006_000021	附纳者勿論
HVH_107_08_000006_000022	包横设费正数及多补
HVH_107_08_000006_000023	用以据骗論若侵数以監
HVH_107_08_000006_000024	者不應
HVH_107_08_000006_000025	霓树有明包他/教代其交纳
HVH_107_08_000006_000026	非爲多收取利即圆暂用甚且
HVH_107_08_000006_000027	有律漏侵之在民则受其献
HVH_107_08_000006_000028	在言则酸其等欠故不油後家
HVH_107_08_000006_000029	不分其数多寡但犯生发六十点
HVH_107_08_000006_000030	所號應足税被著落揽人赴倉
HVH_107_08_000006_000031	皇越徽例
HVH_107_08_000006_000032	卷八九律
HVH_107_08_000006_000033	五
HVH_107_08_000006_000034	提纳税量
HVH_107_08_000006_000035	臨提用命理信使也主守官
HVH_107_08_000006_000036	十级人等也几民間携不遏规取
HVH_107_08_000006_000037	欲若监守之人身自建下取
HVH_107_08_000006_000038	利何以禁察他人故加罪二等教人
HVH_107_08_000006_000039	十不言的足追罰者棠上交也其
HVH_107_08_000006_000040	里种小力應纳时米麥因便数
HVH_107_08_000006_000041	于多粮纳伪官者勿夫旧
HVH_107_08_000006_000042	时零则為教與不必贵其而
HVH_107_08_000006_000043	根人户又非搅纳之比故不在标
HVH_107_08_000006_000044	限若观制之人或将所笔规根侵
HVH_107_08_000006_000045	费用纳不足数或
HVH_107_08_000006_000046	维费名色额
HVH_107_08_000006_000047	外多科或全食版
HVH_107_08_000006_000048	分别料罪色與者坐不磨重杖
HVH_107_08_000007_000001	本肖通珠钞
HVH_107_08_000007_000002	九线粮通是岗印信長單
HVH_107_08_000007_000003	通剧倉库截收則暂给红
HVH_107_08_000007_000004	批照票
HVH_107_08_000007_000005	岛陈影
HVH_107_08_000007_000006	九倉庫收受一應係官錢根等物
HVH_107_08_000007_000007	本
HVH_107_08_000007_000008	足而监臨主守通同有司提調官吏虚
HVH_107_08_000007_000009	者計所之数併賊
HVH_107_08_000007_000010	靠各
HVH_107_08_000007_000011	不分
HVH_107_08_000007_000012	皆以監守自盗。若委官签照钱
HVH_107_08_000007_000013	粮数本不足扶同
HVH_107_08_000007_000014	申報足尚者
HVH_107_08_000007_000015	調官
HVH_107_08_000007_000016	罪亦如之
HVH_107_08_000007_000017	守自盗論并服
HVH_107_08_000007_000018	色文折收财物虚殊钞者亦以盘
HVH_107_08_000007_000019	奉文
HVH_107_08_000007_000020	守自益諭纳户知情诚二等免刺原奥
HVH_107_08_000007_000021	皇越律例
HVH_107_08_000007_000022	卷八中
HVH_107_08_000007_000023	六
HVH_107_08_000007_000024	出通周珠参
HVH_107_08_000007_000025	之赋入官不知者不坐其臟給主0通
HVH_107_08_000007_000026	同僚知而不舉者與犯人同罪
HVH_107_08_000007_000027	注不
HVH_107_08_000007_000028	以失觉
HVH_107_08_000007_000029	等物则九余库收受在官之
HVH_107_08_000007_000030	物皆是也坠像常之馆注时
HVH_107_08_000007_000031	之人各倉庫次受一應官錢根
HVH_107_08_000007_000032	等物管收之排主守必通全足
HVH_107_08_000007_000033	然後肯通與有司提調官以
HVH_107_08_000007_000034	為照验若根等物状受不足而即
HVH_107_08_000007_000035	監守自盗論計等虚出總数併論各
HVH_107_08_000007_000036	人之养蓝佛输乃科监守自盗
HVH_107_08_000007_000037	之本法皆者监主守有司提
HVH_107_08_000007_000038	官吏不分首從皆坐监守自盗之罪
HVH_107_08_000007_000039	也。委官维非官之人而既奉委
HVH_107_08_000007_000040	盘根其责任印典监相同监
HVH_107_08_000007_000041	默之本久不是而扶同申报
HVH_107_08_000007_000042	足筒則與监守之虚出通门無異板
HVH_107_08_000008_000001	罪亦知之即虚報之数為委官
HVH_107_08_000008_000002	奖守提調官使诉给罪坐
HVH_107_08_000008_000003	扶同中报者部其入已之联以
HVH_107_08_000008_000004	法溪重输社法罪重则從枉法監守
HVH_107_08_000008_000005	盗罪重制仍促守盗也。若有
HVH_107_08_000008_000006	本色者其王守不教
HVH_107_08_000008_000007	色乃内物户折牧时物官作勇面
HVH_107_08_000008_000008	应出本色做纱者新教之财物
HVH_107_08_000008_000009	以守自中明
HVH_107_08_000008_000010	知折收情舞折收者成
HVH_107_08_000008_000011	监中罪二等免制原奥浙旅之入
HVH_107_08_000008_000012	折放财物以上三项各同除速署
HVH_107_08_000008_000013	收之官有知其事面不首者
HVH_107_08_000008_000014	奥祀人同罪至死减一等一百
HVH_107_08_000008_000015	三千里其不知情及不何暑案者
HVH_107_08_000008_000016	不坐在日以失觉察論即後錢
HVH_107_08_000008_000017	阳党察也然止搭监主守而言
HVH_107_08_000008_000018	其他不
HVH_107_08_000008_000019	得研
HVH_107_08_000008_000020	皇越律例
HVH_107_08_000008_000021	卷八户带
HVH_107_08_000008_000022	七
HVH_107_08_000008_000023	碳内通圆珠纱
HVH_107_08_000008_000024	备例
HVH_107_08_000008_000025	一九新交代如果米款收存不慎官物
HVH_107_08_000008_000026	遗失不全立即揭報题参舊官名下
HVH_107_08_000008_000027	着追如七经後官接受出結米教
HVH_107_08_000008_000028	官物短少著落接任出結之官接数贈
HVH_107_08_000008_000029	補
HVH_107_08_000009_000001	附餘糧私下補数
HVH_107_08_000009_000002	九各衙門及倉庫有附餘錢糧須要盡
HVH_107_08_000009_000003	監臨主守将增出錢私下销别项
HVH_107_08_000009_000004	事故虧折之数瞒官作葬者
HVH_107_08_000009_000005	首发
HVH_107_08_000009_000006	不分
HVH_107_08_000009_000007	並計
HVH_107_08_000009_000008	賊以監守自論
HVH_107_08_000009_000009	其折0若内库
HVH_107_08_000009_000010	赔回官
HVH_107_08_000009_000011	收受金帛当日交割未旱者
HVH_107_08_000009_000012	带出
HVH_107_08_000009_000013	附薄寄庫若有餘剩之物本庫明白立
HVH_107_08_000009_000014	金帛等物出外者
HVH_107_08_000009_000015	皇越律例
HVH_107_08_000009_000016	卷八力
HVH_107_08_000009_000017	八
HVH_107_08_000009_000018	时分
HVH_107_08_000009_000019	此之数也事故虧折者如被益賊水
HVH_107_08_000009_000020	火损壞遗失之是也几内外經管
HVH_107_08_000009_000021	各街門及各處会库共受之
HVH_107_08_000009_000022	根解夜把足但有積出时除守
HVH_107_08_000009_000023	位案正收在官另行作数支销若监
HVH_107_08_000009_000024	将附除作正妆其折之数奋
HVH_107_08_000009_000025	内库乃禁深最之地各處到金
HVH_107_08_000009_000026	帛有当日交割未旱者其未旱之物
HVH_107_08_000009_000027	不詳出許命明白附寄庫來日
HVH_107_08_000009_000028	交状若交妆正额已足尚有餘剩之
HVH_107_08_000010_000001	都作教简
HVH_107_08_000010_000002	摩腾将妆受未旱
HVH_107_08_000010_000003	及额外
HVH_107_08_000010_000004	不分多
HVH_107_08_000010_000005	少條
HVH_107_08_000010_000006	守門
HVH_107_08_000010_000007	官失于
HVH_107_08_000010_000008	盘
HVH_107_08_000010_000009	皇玉越律铜
HVH_107_08_000010_000010	卷八章
HVH_107_08_000010_000011	除程下请
HVH_107_08_000011_000001	私借残程
HVH_107_08_000011_000002	允主守将官等物
HVH_107_08_000011_000003	乃金帛之
HVH_107_08_000011_000004	长服
HVH_107_08_000011_000005	票批薄
HVH_107_08_000011_000006	以監守自
HVH_107_08_000011_000007	之
HVH_107_08_000011_000008	盎論其非守之人借者以常人盗倉
HVH_107_08_000011_000009	庫钱糧前
HVH_107_08_000011_000010	监守坐以自盗养监守止
HVH_107_08_000011_000011	若将自物件抵换官物者罪亦如之
HVH_107_08_000011_000012	自巴标
HVH_107_08_000011_000013	件人官
HVH_107_08_000011_000014	银银米等物则兼金之
HVH_107_08_000011_000015	其他器物则满官物失孤字自
HVH_107_08_000011_000016	将食車中保官钱粮等物私自借用
HVH_107_08_000011_000017	成私下轉僧與人第立有文字以為
HVH_107_08_000011_000018	上慈律侧
HVH_107_08_000011_000019	卷八条
HVH_107_08_000011_000020	+
HVH_107_08_000011_000021	私音货糕
HVH_107_08_000011_000022	俯四健而同上行私即同益取
HVH_107_08_000011_000023	寄所借暴以监守自益不
HVH_107_08_000011_000024	前論罪其非守之人借者以
HVH_107_08_000011_000025	人盗库缓模諭罪成自與溢
HVH_107_08_000011_000026	鞭而借者不坐若将自物件
HVH_107_08_000011_000027	换官物者亦输私借之罪
HVH_107_08_000011_000028	时坐以守自盗常人则坐以
HVH_107_08_000011_000029	常人其所
HVH_107_08_000011_000030	撰文物入官
HVH_107_08_000011_000031	條例
HVH_107_08_000011_000032	会
HVH_107_08_000011_000033	一九管民地方官员借用官银初次逾
HVH_107_08_000011_000034	限不能的者即令難任限一年的清開
HVH_107_08_000011_000035	復若限内不足草職著落家産填償所
HVH_107_08_000011_000036	辖上司催追
HVH_107_08_000012_000001	私借官物
HVH_107_08_000012_000002	几监臨主守将保官什物衣服褥器玩
HVH_107_08_000012_000003	之類私自借用或轉借與人及借之音
HVH_107_08_000012_000004	各答五十過十日各
HVH_107_08_000012_000005	借坐贼論成二
HVH_107_08_000012_000006	物
HVH_107_08_000012_000007	等
HVH_107_08_000012_000008	年各追所若有損失者依
HVH_107_08_000012_000009	罪止秋八十徒二
HVH_107_08_000012_000010	输加二等罪止秋一百流三千誤
HVH_107_08_000012_000011	及遣失者减乘较之罪三等杖八十徒
HVH_107_08_000012_000012	二年
HVH_107_08_000012_000013	追賠
HVH_107_08_000012_000014	九官所置備以公用之物皆謂官
HVH_107_08_000012_000015	物不獨衣服得器玩故日文類也
HVH_107_08_000012_000016	监席主年将一官物自借用或
HVH_107_08_000012_000017	轉借與人及與守借之者不論物
HVH_107_08_000012_000018	重多募在十日内者各答五十
HVH_107_08_000012_000019	若借過十日未能則計所借本物之
HVH_107_08_000012_000020	皇越律例
HVH_107_08_000012_000021	卷八
HVH_107_08_000012_000022	+1
HVH_107_08_000012_000023	私借官物
HVH_107_08_000012_000024	價坐賊論罪减
HVH_107_08_000012_000025	等
HVH_107_08_000012_000026	科
HVH_107_08_000012_000027	之知坐之
HVH_107_08_000012_000028	罪輕干答五十
HVH_107_08_000012_000029	者
HVH_107_08_000012_000030	仍
HVH_107_08_000012_000031	依
HVH_107_08_000012_000032	苦
HVH_107_08_000012_000033	律疑罪誤
HVH_107_08_000012_000034	失失
HVH_107_08_000012_000035	者诚等科之奶
HVH_107_08_000012_000036	建赔什物纳官
HVH_107_08_000012_000037	田宅网素毁器物墙條
HVH_107_08_000013_000001	那称出纳
HVH_107_08_000013_000002	九各衙門收支钱糧等物已有文案
HVH_107_08_000013_000003	系
HVH_107_08_000013_000004	筒
HVH_107_08_000013_000005	勘合
HVH_107_08_000013_000006	自
HVH_107_08_000013_000007	以
HVH_107_08_000013_000008	行移典守者
HVH_107_08_000013_000009	合依奉出
HVH_107_08_000013_000010	若盈臨主守不正
HVH_107_08_000013_000011	收正支
HVH_107_08_000013_000012	案勘合
HVH_107_08_000013_000013	者业計
HVH_107_08_000013_000014	移之
HVH_107_08_000013_000015	所
HVH_107_08_000013_000016	賊准监守自盗論罪止杖
HVH_107_08_000013_000017	一百流三千里
HVH_107_08_000013_000018	保公
HVH_107_08_000013_000019	罪
HVH_107_08_000013_000020	免刺o若
HVH_107_08_000013_000021	门
HVH_107_08_000013_000022	給半印勘合擅出權
HVH_107_08_000013_000023	或給勘合
HVH_107_08_000013_000024	不立文案放支及倉库
HVH_107_08_000013_000025	但
HVH_107_08_000013_000026	灌站
HVH_107_08_000013_000027	不保勘合
HVH_107_08_000013_000028	或巳奉勘合不附簿放支者罪亦如之
HVH_107_08_000013_000029	放之監守自盗論
HVH_107_08_000013_000030	皇越律创
HVH_107_08_000013_000031	卷八
HVH_107_08_000013_000032	土
HVH_107_08_000013_000033	那移常新
HVH_107_08_000013_000034	案即时應付具数開申合于上司准除
HVH_107_08_000013_000035	不在擅支之限遣
HVH_107_08_000013_000036	面不申者杖六十
HVH_107_08_000013_000037	惠付
HVH_107_08_000013_000038	交案勘合看定制提錢根衙网将
HVH_107_08_000013_000039	惠收支各疑项数目明立文業以
HVH_107_08_000013_000040	為存查照将目
HVH_107_08_000013_000041	王守之人開等籍照校支所
HVH_107_08_000013_000042	謂正收正支也那移出纳者不依交
HVH_107_08_000013_000043	案勘合所開之混收支如所
HVH_107_08_000013_000044	所天
HVH_107_08_000013_000045	欲去年錢粮未是即并本年錢
HVH_107_08_000013_000046	等物明立業填给半印勘合
HVH_107_08_000013_000047	监路主守不强侯正妆正支面那
HVH_107_08_000013_000048	移出的维日克别项官用非同
HVH_107_08_000013_000049	盗入已然出执不网有建定制或出
HVH_107_08_000013_000050	武並計所那移之数為赋准監守
HVH_107_08_000013_000051	自盗输罪止杖一百流三千里免刺
HVH_107_08_000013_000052	椎謂權宜給之票帖面無印
HVH_107_08_000013_000053	信者若不給牛印勘合面擅出權宜
HVH_107_08_000014_000001	票帖或已始助合面不用立交条即
HVH_107_08_000014_000002	行放友此则提制根官吏之罪也
HVH_107_08_000014_000003	有合並不附記等糖即以放支
HVH_107_08_000014_000004	会库盈守丈人不供给簇勘合或已
HVH_107_08_000014_000005	此周倉車官吏之罪正
HVH_107_08_000014_000006	信之資故計所教友之数赋亦論
HVH_107_08_000014_000007	等未举有合其明立供始文
HVH_107_08_000014_000008	1，
HVH_107_08_000014_000009	除不在擅友之限若以無勘合之故
HVH_107_08_000014_000010	業即特應付具應付之数申操准
HVH_107_08_000014_000011	建耐不感
HVH_107_08_000014_000012	付者放六十
HVH_107_08_000014_000013	條例
HVH_107_08_000014_000014	一九有倉展镇管倘因俏急玩於惨废
HVH_107_08_000014_000015	既不粘補應盖造又不詳請以米
HVH_107_08_000014_000016	超律
HVH_107_08_000014_000017	卷八年
HVH_107_08_000014_000018	十三
HVH_107_08_000014_000019	彩出的
HVH_107_08_000014_000020	穀雾糊者革職雾若干勒限一年照
HVH_107_08_000014_000021	数追賠知限丙不足照損壞倉庫财物
HVH_107_08_000014_000022	律治罪若有将会装侵盗入已控霉
HVH_107_08_000014_000023	空者仍照侵触创治罪
HVH_107_08_000014_000024	一地方交代除贵在民欠外将已微钱
HVH_107_08_000014_000025	粮侵触虧空控稱民欠令後官接受者
HVH_107_08_000014_000026	後官即揭報該管上司搬實確定提
HVH_107_08_000014_000027	如該官上司護庇離任之员而抑勒交
HVH_107_08_000014_000028	盤者被勒之員直揭該部代陳奏将
HVH_107_08_000014_000029	具揭及空之员押起来京交部确
HVH_107_08_000014_000030	将抑勒之上司一並徙重議或保
HVH_107_08_000015_000001	柱揭交與刑部治罪倘前官空後
HVH_107_08_000015_000002	官容隱不報出結接受至本身離任始
HVH_107_08_000015_000003	前任空者将久项追賠外仍治以
HVH_107_08_000015_000004	瞻徇私受之罪其揭報之员照例赴部
HVH_107_08_000015_000005	別省調倘調補省分該管上司因
HVH_107_08_000015_000006	前揭報之故多方求借端者許
HVH_107_08_000015_000007	該员刑部呈辨果係宪抑将該管上
HVH_107_08_000015_000008	司交部議如該員借名辨者從重
HVH_107_08_000015_000009	治罪
HVH_107_08_000015_000010	一九追赔纳官各项銀两有鼓原之数
HVH_107_08_000015_000011	浮多者仍給回本人
HVH_107_08_000015_000012	皇越律侧
HVH_107_08_000015_000013	卷八
HVH_107_08_000015_000014	十四
HVH_107_08_000015_000015	梦出的
HVH_107_08_000015_000016	一允番提那移之案走案日查明後
HVH_107_08_000015_000017	過若干准子開除以現在未足之数
HVH_107_08_000015_000018	定
HVH_107_08_000016_000001	庫秤雇後停欺
HVH_107_08_000016_000002	九倉庫務場局院庫秤斗級若雇役之人
HVH_107_08_000016_000003	侵欺借貸移易
HVH_107_08_000016_000004	是主守或
HVH_107_08_000016_000005	国纸字
HVH_107_08_000016_000006	同情分受贼物者罪亦如之其知情不
HVH_107_08_000016_000007	售分赋而扶同
HVH_107_08_000016_000008	物控作见在
HVH_107_08_000016_000009	官及不首告者减一等罪止杖一百
HVH_107_08_000016_000010	不知者不坐
HVH_107_08_000016_000011	收日收财日庫税物日券即税
HVH_107_08_000016_000012	課司等街门物日場即草場場
HVH_107_08_000016_000013	之额如桑等上等
HVH_107_08_000016_000014	皆係鐵根出入之所库杯斗教皆
HVH_107_08_000016_000015	现在主守之後雇役之人罪應當
HVH_107_08_000016_000016	库斗级者然受其痛钱代後承
HVH_107_08_000016_000017	皇越律例一卷八
HVH_107_08_000016_000018	即网主守若有侵借移易等事官
HVH_107_08_000016_000019	庫杯备设侵发
HVH_107_08_000016_000020	货最者即是监守盗委計侵借移
HVH_107_08_000016_000021	不售分
HVH_107_08_000016_000022	城
HVH_107_08_000016_000023	同及
HVH_107_08_000016_000024	肥
HVH_107_08_000016_000025	癌役之罪一等罪止杖一百雇王
HVH_107_08_000016_000026	不知者
HVH_107_08_000016_000027	不坐
HVH_107_08_000017_000001	月发官粮
HVH_107_08_000017_000002	准窃盗输
HVH_107_08_000017_000003	取之取之官也校
HVH_107_08_000017_000004	准窃益给若軍已故不
HVH_107_08_000017_000005	行如除面人已老以常人盗官校
HVH_107_08_000017_000006	永委故支或者以监守自益論
HVH_107_08_000017_000007	免刺
HVH_107_08_000017_000008	管军官更管自军人本官所部者
HVH_107_08_000017_000009	若前月本部下悉支月军人姓
HVH_107_08_000017_000010	而交粮入已計所月之之
HVH_107_08_000017_000011	窃盗論免料至我一等此不以官
HVH_107_08_000017_000012	座罪面止调安监者在缩有前
HVH_107_08_000017_000013	月之情在官實為感給之物終是軍
HVH_107_08_000017_000014	八合得之破故日取
HVH_107_08_000017_000015	之干罩非取之干官也
HVH_107_08_000017_000016	皇越律侧
HVH_107_08_000017_000017	三卷八九十六
HVH_107_08_000017_000018	月家官装
HVH_107_08_000018_000001	钱粮互招覺察
HVH_107_08_000018_000002	R
HVH_107_08_000018_000003	九倉庫務場官吏措欄庫子斗級皆得互
HVH_107_08_000018_000004	相覺察若知侵欺益用借贷保官粮钱
HVH_107_08_000018_000005	已出倉庫匿而不舉及故縱者並典犯
HVH_107_08_000018_000006	人同罪至失覺察者减三等罪止
HVH_107_08_000018_000007	等
HVH_107_08_000018_000008	杖一百0若官吏虚立文案那移出
HVH_107_08_000018_000009	及虚通
HVH_107_08_000018_000010	有
HVH_107_08_000018_000011	本
HVH_107_08_000018_000012	其斗级車子撕不
HVH_107_08_000018_000013	知者不坐
HVH_107_08_000018_000014	监守侵益用货官线者自
HVH_107_08_000018_000015	有本罪面余車場務官吏典有监
HVH_107_08_000018_000016	臨之責拥库千諸役有主守
HVH_107_08_000018_000017	之责此责在敢同皆得互相覺察
HVH_107_08_000018_000018	若知有侵盗用借已库
HVH_107_08_000018_000019	外而意匿不即举首及故而不
HVH_107_08_000018_000020	皇越律侧
HVH_107_08_000018_000021	一卷八户
HVH_107_08_000018_000022	十七
HVH_107_08_000018_000023	线养互相登茶
HVH_107_08_000018_000024	四者建無同分成之事有
HVH_107_08_000018_000025	其之咎获容之心故得诚纪人
HVH_107_08_000018_000026	車十之价得觉
HVH_107_08_000018_000027	察者故不知不坐
HVH_107_08_000019_000001	倉庫不觉致盗
HVH_107_08_000019_000002	几有人
HVH_107_08_000019_000003	非监
HVH_107_08_000019_000004	守
HVH_107_08_000019_000005	從含库中出守把之人不
HVH_107_08_000019_000006	檢者笞二十因不檢以致益物出
HVH_107_08_000019_000007	庫而不覺者减盗罪二等若夜更之
HVH_107_08_000019_000008	人不覺益者减三等合库血宿宫斗
